category,model,title,highlight,description
Unmanaged Switches,XS505M,10-Gigabit/Multi-Gigabit (XS505M),"5-port, 5-speed Unmanaged Switch 10-Gigabit/Multi-Gigabit","The XS505M and XS508M come with copper Ethernet 5-speed ports that provide either FastEthernet, 1-Gigabit, 2.5-Gigabit, 5-Gigabit or 10-Gigabit connectivity, as well as 1 SFP+ Fiber port with 1-Gigabit or 10-Gigabit connectivity."
Unmanaged Switches,GS348,300 Series SOHO Unmanaged Switch (GS348),48-Port Gigabit Ethernet Unmanaged Switch,"Get networks up and running with plug-and-play unmanaged switches. Set it and forget it, energy-efficient switches are built like tanks and last for decades."
Unmanaged Switches,GS348PP,SOHO Ethernet Unmanaged (GS348PP),48-Port Gigabit Ethernet Unmanaged PoE+ Switch (380W),"24 PoE+ ports with 380W power budget. Unmanaged 300-Series PoE Switches are easy, reliable, and affordable network connectivity for home and small offices. Providing power and data from a single Ethernet cable"
Unmanaged Switches,GS324PP,SOHO Ethernet Unmanaged (GS324PP),24-Port Gigabit Ethernet High-Power Unmanaged Switch with 24-Ports PoE+ (380W),"24 PoE+ ports with 380W power budget. Unmanaged 300-Series PoE Switches are easy, reliable, and affordable network connectivity for home and small offices. Providing power and data from a single Ethernet cable."
Unmanaged Switches,GS316PP,300 Series SOHO Unmanaged Switch (GS316PP),16-Port Gigabit Ethernet Unmanaged PoE+ Switch with FlexPoE (183W),Get networks up and running with plug-and-play unmanaged switches. PoE 183W power budget lets you dedicate power for network devices with a simple CAT-5 cable.
Unmanaged Switches,GS308,Gigabit 8-port 300 Series SOHO Unmanaged Switch (GS308V3),8 Port Gigabit Ethernet Switch Unmanaged GS308,NETGEAR 300 Switch Series featuring 8 ports of gigabit ethernet. This SOHO switch is plug-and-play with unmanaged ports needing no additional configuration at full non-blocking performance. This is the latest V3 model of the GS308 unmanaged switch.
Unmanaged Switches,GS305V3,300 Series SOHO Unmanaged Switch (GS305v3),5-Port Gigabit Ethernet SOHO Unmanaged Switch,Cost-effective plug-and-play networking lets you expand your office network to multiple devices instantly
Unmanaged Switches,GS305P,Gigabit 5-port 300 Series SOHO Unmanaged PoE+ Switch (GS305Pv3),5-Port Gigabit Ethernet SOHO Unmanaged Switch with 4-Ports PoE+ (63W),"5-Port Switch Gigabit Unmanaged PoE switch with 4 PoE+ ports and 63W power budget to power Wireless AP, IP Cameras, IP Phones and more."
Unmanaged Switches,GS305PPv3,300 Series SOHO Unmanaged Switch (GS305PPv3),5-Port Gigabit Ethernet SOHO Unmanaged Switch with 4-Ports PoE+ (83W),"5-Port Gigabit Unmanaged switch with 4 PoE+ ports and 83W power budget to power Wireless AP, IP Cameras, IP Phones and more"
Unmanaged Switches,GS524UP,Gigabit Unmanaged Switch Series (GS524UP),24-Port Gigabit Ethernet High-Power PoE+ Unmanaged Switch with 16-Ports PoE++ (480W),"Simple plug-and-play, with more than enough to power the entire network. 16 high-power Ultra60 PoE++, and 8 PoE+ ports with a large budget to keep your devices always-ready."
Unmanaged Switches,GS516PP,Gigabit Unmanaged Switch Series (GS516PP),16-Port Gigabit Ethernet High-Power PoE+ Unmanaged Switch (260W),"Simple plug-and-play, with more than enough to power the entire network 16 high-power PoE+ ports with a large budget to keep your devices always-ready."
Unmanaged Switches,GS516UP,Gigabit Unmanaged Switch Series (GS516UP),16-Port Gigabit Ethernet High-Power PoE+ Unmanaged Switch with 8-Ports PoE++ (380W),"Simple plug-and-play, with more than enough to power the entire network. 8 high-power Ultra60 PoE++, and 8 PoE+ ports with a large budget to keep your devices always-ready."
Unmanaged Switches,GS305,300 Series SOHO Unmanaged Switch (GS305),5-Port Gigabit Ethernet SOHO Unmanaged Switch,"Get networks up and running with plug-and-play unmanaged switches. Set it and forget it, energy-efficient switches are built like tanks and last for decades."
Unmanaged Switches,GS116LP,PoE/PoE+ Gigabit Unmanaged Switches (GS116LP),16-Port Gigabit Ethernet Unmanaged PoE+ Switch with FlexPoE (76W),"16 PoE+ ports with 76W total power budget, and includes NETGEAR FlexPoE making it expandable to 115W or even 183W (w/separately purchased power supply modules)"
Unmanaged Switches,GS110MX,Gigabit with 10-Gigabit/Multi-Gigabit (GS110MX),8-Port Gigabit Ethernet Unmanaged Switch with 2-Port 5-Speed 10-Gigabit/Multi-Gigabit,Unlock the Potential of your 10G/Multi-Gig devices
Unmanaged Switches,GS108LP,Gigabit Unmanaged Switch Series (GS108LP),8-Port Gigabit Ethernet PoE+ Unmanaged Switch with FlexPoE (60W),"8 PoE+ ports with 60W total power budget, and includes NETGEAR FlexPoE making it expandable to 90W or even 130W (w/separately purchased power supply modules)."
Unmanaged Switches,GS605v5,Home/Office Ethernet Switch Series (GS605v5),5-Port Gigabit Ethernet Home/Office Switch,The NETGEAR Home/Office Ethernet Unmanaged Switches provide easy and affordable network connectivity to home and small/home offices.
Plus Switches,MS308E,Multi-Gigabit Ethernet Plus Switch (MS308E),NETGEAR 8-port 2.5G Multi-Gigabit Ethernet Plus Switch,".Effortless Setup with Simple Configuration.Eight (8) 2.5G Multi-Gigabit Ethernet ports for faster connections and increased efficiency.Compact, robust metal desktop case with silent fanless operation.Versatile placement options: desktop or wall mounting.Convenient monitoring via per port LEDs, displaying activity and speed.Easy management with intuitive web-based Interface.NETGEAR’s 5-Year hardware warranty for added peace of mind.Energy-efficient design in line with IEEE 802.3az standards."
Plus Switches,MS305E,Multi-Gigabit Ethernet Plus Switch (MS305E),NETGEAR 5-port 2.5G Multi-Gigabit Ethernet Plus Switch,".Effortless Setup with Simple Configuration.Five (5) 2.5G Multi-Gigabit Ethernet ports for faster connections and increased efficiency.Compact, robust metal desktop case with silent fanless operation.Versatile placement options: desktop or wall mounting.Convenient monitoring via per port LEDs, displaying activity and speed.Easy management with intuitive web-based Interface.NETGEAR’s 5-Year hardware warranty for added peace of mind.Energy-efficient design in line with IEEE 802.3az standards."
Plus Switches,MS108EUP,Multi-Gigabit Ethernet Plus Switch (MS108EUP),8-port Multi-Gigabit (2.5G) Ultra60 PoE++ Ethernet Plus Switch,"Provides 8 ports 1G/2.5G with 4 PoE+ ports and 4 Ultra60 PoE++ ports making it a perfect switch for WiFi 6 AP connectivity, IP surveillance and more."
Plus Switches,GS305E,300 Series SOHO Plus (GS305E),5-Port Gigabit Ethernet SOHO Plus Switch,The NETGEAR 5-Port Gigabit Ethernet Plus Switch provides exceptional value to businesses looking to increase network visibility and control while enjoying plug-and-play connectivity.
Plus Switches,GS308Ev4,300 Series SOHO Plus (GS308E),8-Port Gigabit Ethernet Plus Switch,The NETGEAR 8-Port Gigabit Ethernet Plus Switch provides exceptional value to businesses looking to increase network visibility and control while enjoying plug-and-play connectivity.
Plus Switches,GS308EP,300 Series SOHO Plus (GS308EP),8-Port PoE+ Gigabit Ethernet Plus Switch (62W),"The NETGEAR 8-Port Gigabit Ethernet PoE+ Plus Switch delivers essential business networking features and powers PoE+ devices like VoIP phones, IP cameras, and more."
Plus Switches,GS316EP,300 Series Plus Switch (GS316EP),16-Port PoE+ Gigabit Ethernet Plus Switch (180W) with 1 SFP Port,"The NETGEAR 16-Port PoE+ Gigabit Ethernet Plus Switch delivers essential business networking features and powers PoE+ devices like VoIP phones, IP cameras, and more."
Plus Switches,GS108Ev4,Gigabit Plus Switch Series (GS108Ev4),8-Port Gigabit Plus Switch,"On top of the plug-n-play Gigabit Ethernet connectivity, the NETGEAR GS108E switch offers essential networking features such as VLAN, QoS, IGMP Snooping, rate limiting, traffic monitoring and more. NETGEAR Plus Switches are an exceptional value for businesses looking to add intelligence to their network beyond what unmanaged switches can provide."
Plus Switches,GS308EPP,300 Series SOHO Plus (GS308EPP),8-Port PoE+ Gigabit Ethernet Plus Switch (123W),"Easy to manage, fundamental network features at an affordable cost for SMBs. GS308EPP offers 123W total power budget to power devices PoE devices such as VoIP phones, IP cameras, wireless access points, etc."
Plus Switches,JGS524PE,Gigabit Plus Switch Series (JGS524PE),24-Port Gigabit Plus Switch With 12-Port PoE (100W),"On top of the plug-N-play Gigabit Ethernet connectivity, these switches also offer essential networking features such as VLAN, QoS, IGMP Snooping, port mirroring."
Plus Switches,GS105Ev2,Gigabit Plus Switch Series (GS105Ev2),5-Port Gigabit Plus Switch,NETGEAR Plus Switches are an exceptional value for businesses looking to add intelligence to their network beyond what unmanaged switches can provide.
Plus Switches,GS110EMX,10-Gigabit/Multi-Gigabit Plus (GS110EMX),8-Port Gigabit Ethernet Plus switch with 2-Port Multi-Gig Ethernet (100M/1G/2.5G/5G/10G),"GS110EMX 8-Port Gigabit Ethernet Plus Switch with 2 auto-adapt 5-speed networking ports (100M, 1G, 2.5G, 5G, 10G) support. Through an intuitive GUI it provides easy, reliable and affordable connectivity with VLAN, QoS, LAG and IGMP management capabilities."
Plus Switches,GSS116E,Plus Click Switches (GSS116E),16-port Gigabit Plus Click Switch,"The Plus Click Switches GSS108E (8-port), GSS108EPP (8-port with PoE+) and GSS116E (16-port), all feature an innovative and flexible mounting bracket, making it easy to mount vertically or horizontally, flat or perpendicular, on a wall, under a desk, or strapped to a pole, allowing you to put your ports where and how you need them! Watch the video to the left for more information."
Plus Switches,XS724EM,10-Gigabit/Multi-Gigabit Plus (XS724EM),24-Port 10G/Multi-Gigabit Plus Switch with 2 Dedicated SFP+ Ports,"As a leading provider of network equipment for SMBs, NETGEAR® understands the importance of reliable and high performance networks. With the growth of virtualization, cloud-based services and applications like VoIP, video streaming and IP surveillance, SMB networks need to extend beyond simple reliability to higher speed and performance. The 10-Gigabit and Multi-Gigabit Plus Switches from NETGEAR present the right solution for this requirement; delivering unprecedented non-blocking10-Gigabit bandwidth at the most affordable cost. All of them are perfect for removing the SMB network bottlenecks caused by the proliferation of Gigabit-to-the-desktop and the upcoming 10-Gigabit/Multi-Gigabit high end workstations."
Plus Switches,GS305EP,300 Series SOHO Plus (GS305EP),5-Port Gigabit Ethernet Plus PoE Switch (63W),"Easy to manage, fundamental network features at an affordable cost for SMBs. GS305EP offers 63W total power budget to power devices PoE devices such as VoIP phones, IP cameras, wireless access points, etc."
Plus Switches,GS305EPP,300 Series SOHO Plus (GS305EPP),5-Port High Power PoE+ Gigabit Ethernet Plus Switch (120W),"Easy to manage, fundamental network features at an affordable cost for SMBs. GS305EPP offers 120W total power budget to power devices PoE devices such as VoIP phones, IP cameras, wireless access points, etc."
Plus Switches,GS316EPP,300 Series Plus Switch (GS316EPP),16-Port High-Power PoE+ Gigabit Ethernet Plus Switch (231W) with 1 SFP Port,"The NETGEAR 16-Port High-Power PoE+ Gigabit Ethernet Plus Switch delivers essential business networking features and powers PoE+ devices like VoIP phones, IP cameras, and more."
Plus Switches,XS512EM,10-Gigabit/Multi-Gigabit Plus (XS512EM),12-Port 10G-Gigabit/Multi-Gigabit Ethernet Switch with 2 SFP+ Combo Ports,"As a leading provider of network equipment for SMBs, NETGEAR® understands the importance of reliable and high performance networks. With the growth of virtualization, cloud-based services and applications like VoIP, video streaming and IP surveillance, SMB networks need to extend beyond simple reliability to higher speed and performance. The 10-Gigabit and Multi-Gigabit Plus Switches from NETGEAR present the right solution for this requirement; delivering unprecedented non-blocking10-Gigabit bandwidth at the most affordable cost. All of them are perfect for removing the SMB network bottlenecks caused by the proliferation of Gigabit-to-the-desktop and the upcoming 10-Gigabit/Multi-Gigabit high end workstations."
Smart Switches,GS724TPPv3,Smart w/ optional Cloud (GS724TPPv3),24 Port Gigabit Ethernet PoE+ Smart Switch w/ optional Remote/Cloud Management and 2 SFP Ports (380W),"Standalone Smart Switch designed for converged networks, big or small. 1 Year Insight subscription included."
Smart Switches,GS724TPv3,Smart w/ optional Cloud (GS724TPv3),24 Port Gigabit Ethernet PoE+ Smart Switch with 2 SFP Ports (190W),".Standalone Smart Switch designed for converged networks, big or small. 1 Year Insight subscription included.."
Smart Switches,GS724T,Smart Switch Series (GS724Tv6),24-Port Gigabit Ethernet Smart Switch with 2 Dedicated SFP Ports,NETGEAR GS724T Smart Cloud Switch offers powerful L2 and L2+/Layer 3 Lite features and enhanced performance and usability. Manage remotely with Insight Cloud Management
Smart Switches,GS728TPPv3,Smart w/ optional Cloud (GS728TPPv3),24 Port Gigabit Ethernet PoE+ Smart Switch w/ optional Remote/Cloud Management and 4 SFP Ports (380W),"Standalone Smart Switch designed for converged networks, big or small. 1 Year Insight subscription included."
Smart Switches,GS728TPv3,Smart w/ optional Cloud (GS728TPv3),24 Port Gigabit Ethernet PoE+ Smart Switch w/ optional Remote/Cloud Management and 4 SFP Ports (190W),".Standalone Smart Switch designed for converged networks, big or small. 1 Year Insight subscription included.."
Smart Switches,GS728TXPv3,Smart w/ optional Cloud (GS728TXPv3),24-Port Gigabit Ethernet PoE+ Smart Switch w/ optional Remote/Cloud Management and 4 SFP+ Ports (190W),"Standalone Smart Switch designed for converged networks, big or small. 1-Year Insight subscription included."
Smart Switches,GS752TPPv3,Smart w/ optional Cloud (GS752TPPv3),48-Port Gigabit PoE+ Smart Switch w/ optional Remote/Cloud Management and 4 SFP Ports (760W),".Standalone Smart Switch designed for converged networks, big or small. 1-Year Insight subscription included.."
Smart Switches,GS752TPv3,Smart w/ optional Cloud (GS752TPv3),48-Port Gigabit PoE+ Smart Switch w/ optional Remote/Cloud Management and 4 SFP Ports (380W),".Standalone Smart Switch designed for converged networks, big or small. 1-Year Insight subscription included.."
Smart Switches,GS752TXPv3,Smart w/ optional Cloud (GS752TXPv3),48-Port Gigabit Ethernet PoE+ Smart Switch w/ optional Remote/Cloud Management and 4 SFP+ Ports (380W),"Standalone Smart Switch designed for converged networks, big or small. 1-Year Insight subscription included."
Smart Switches,MS108TUP,Multi-Gigabit Ethernet Smart Switches (MS108TUP),8-Port Multi-Gigabit (2.5G) Ethernet Ultra60 PoE++ Smart Switch,.High-powered 230W PoE budget.8 Multi-Gigabit (2.5G) ports.4 Ultra60 PoE++ and 4 PoE+ ports with uninterrupted PoE and PoE Self-Healing.Energy Efficient Ethernet for maximum power savings.Silent (fanless) desktop operation.Configurable L2/L2+ network features.Remotely manage your network through NETGEAR Insight.
Smart Switches,MS324TXUP,Multi-Gigabit Ethernet Smart Switches (MS324TXUP),24-Port Multi-Gigabit (2.5G) Ethernet Ultra60 PoE++ Smart Switch with 4 SFP+ Ports,".24 Multi-Gigabit 1G/2.5G ports with 4 10G SFP+ ports.24 Ultra60 PoE++ ports with uninterrupted PoE.High powered 720W PoE budget.Energy Efficient Ethernet for maximum power savings.Quiet desktop or rackmount operation.Configurable L2/L2+ network features.NETGEAR Insight Remote Cloud Management.5-year Hardware Limited Warranty 5-year Next Business Day Hardware Replacement, 90-day phone/chat support."
Smart Switches,XS508TM,S3600 Series 10G/Multi-Gigabit Ethernet Smart Switches (XS508TM),8-Port 10G/Multi-Gigabit Ethernet Smart Switch with 2 10G SFP+ Ports,".8 x 10G/Multi-Gigabit ports with 2 dedicated 10G SFP+ ports.Energy Efficient Ethernet for maximum power savings.Desktop, wall mount or rack mount placement.Configurable L2+/L3 Lite network features.1-year of NETGEAR Insight Cloud Management included."
Smart Switches,XS516TM,S3600 Series 10G/Multi-Gigabit Ethernet Smart Switches (XS516TM),16-Port 10G/Multi-Gigabit Ethernet Smart Switch with 2 10G SFP+ Ports,".16 x 10G/Multi-Gigabit ports with 2 dedicated 10G SFP+ ports.Energy Efficient Ethernet for maximum power savings.Desktop, wall mount or rack mount placement.Configurable L2+/L3 Lite network features.1-year of NETGEAR Insight Cloud Management included."
Smart Switches,GS510TPP,Smart Switch Series (GS510TPP),8-Port Gigabit Ethernet High-Power PoE+ Smart Switch with 2 Dedicated SFP Ports (190W),"NETGEAR Smart Switches offer powerful L2 and L2+/Layer 3 Lite features, better PoE functionality, and enhanced performance and usability."
Smart Switches,MS510TXPP,Multi-Gigabit Ethernet Smart Switches (MS510TXPP),8-Port Multi-Gigabit Ethernet PoE+ Smart Switch with 2 Dedicated 10-Gigabit Uplink Ports (1 Copper/1 SFP+),Whisper quiet with a port-mix ready for anything. Only one cord for both data and power
Smart Switches,XS728T,10-Gigabit Smart Switch Series (XS728T),24-Port 10-Gigabit Ethernet Smart Switch with 4 Dedicated SFP+ Ports,"Take your network beyond reliability. With 10G, get high bandwidth perfect for sharing, collaborating, editing and streaming. 4 x 10Gigabit SFP+ uplink flexibility"
Smart Switches,GS748Tv5,Smart Switch Series (GS748Tv5),48-Port Gigabit Ethernet Smart Switch With 2 Dedicated SFP Ports,NETGEAR Smart Switches offer powerful L2 and L2+/Layer 3 Lite features and enhanced performance and usability.
Smart Switches,XS748T,10-Gigabit Smart Switch Series (XS748T),48-Port 10-Gigabit Ethernet Smart Switch with 4 Dedicated SFP+ Ports,"Take your network beyond reliability. With 10G, get high bandwidth perfect for sharing, collaborating, editing and streaming. 4 x 10Gigabit SFP+ uplink flexibility."
Smart Switches,GS324TP,S350 Smart Switches (GS324TP),24-Port Gigabit Ethernet PoE+ Smart Switch with 2 Dedicated SFP Ports (190W),"Experience advanced configuration & control with an easy-to-use GUI interface that offers refined control for secure setup, access, and SNMP management. Also benefit from advanced PoE controls and high PoE budget for any PoE deployment. Comes with a modern desktop design for simple and stylish for use in any room or office. Built to last: every NETGEAR network switch is rigorously tested for reliability, quality, and performance."
Smart Switches,GS108Tv3,Smart w/ optional Cloud (GS108Tv3),8-Port Gigabit Ethernet Smart Switch with Cloud Management,"Get switching now, remote/cloud management now or later"
Smart Switches,GS110TPv3,Smart w/ optional Cloud (GS110TPv3),8-Port Gigabit PoE+ Ethernet Smart Switch with 2 SFP Ports and Cloud Management (55W),"Get switching now, remote/cloud management now or later"
Smart Switches,GS724TPP,Smart w/ optional Cloud (GS724TPP),24-Port Gigabit Ethernet PoE+ Smart Switch w/ optional Remote/Cloud Management and 2 SFP Ports (380W),"Get switching now, remote/cloud management now or later. 380W total power budget"
Smart Switches,GS728TPv2,Smart w/ optional Cloud (GS728TPv2),24-Port Gigabit Ethernet PoE+ Smart Switch w/ optional Remote/Cloud Management and 4 SFP Ports (190W),"Standalone Smart Switch designed for converged networks, big or small. 1-Year Insight subscription included."
Smart Switches,GS728TPPv2,Smart w/ optional Cloud (GS728TPPv2),24-Port Gigabit Ethernet PoE+ Smart Switch w/ optional Remote/Cloud Management and 4 SFP Ports (380W),"Standalone Smart Switch designed for converged networks, big or small. 1-Year Insight subscription included."
Smart Switches,GS752TPv2,Smart w/ optional Cloud (GS752TPv2),48-Port Gigabit Ethernet PoE+ Smart Switch w/ optional Remote/Cloud Management and 4 SFP Ports (380W),"Standalone Smart Switch designed for converged networks, big or small. 1-Year Insight subscription included."
Smart Switches,GS752TPP,Smart w/ optional Cloud (GS752TPP),48-Port Gigabit PoE+ Smart Switch w/ optional Remote/Cloud Management and 4 SFP Ports (760W),"Standalone Smart Switch designed for converged networks, big or small. 1-Year Insight subscription included."
Smart Switches,MS510TXM,Multi-Gigabit Ethernet Smart Switches (MS510TXM),8-Port Multi-Gigabit/10G Ethernet Smart Switch with 2 SFP+ Ports,"Provides 4 ports 1G/2.5G and 4 ports multi-gig/10G with 2 dedicated 10 Gigabit fiber ports for WiFi 6 AP connectivity, IP surveillance and mobility. Includes 1-year of Insight Premium or Pro subscription."
Smart Switches,MS510TXUP,Multi-Gigabit Ethernet Smart Switches (MS510TXUP),8-Port Multi-Gigabit/10G Ethernet Ultra60 PoE++ Smart Switch with 2 SFP+ Ports,"Provides 4 ports 1G/2.5G and 4 ports multi-gig/10G with 2 dedicated 10 Gigabit fiber ports for WiFi 6 AP connectivity, IP surveillance and mobility. Includes 1-year of Insight Premium or Pro subscription."
Smart Cloud Switches,GS724T,Smart Switch Series (GS724Tv6),24-Port Gigabit Ethernet Smart Switch with 2 Dedicated SFP Ports,NETGEAR GS724T Smart Cloud Switch offers powerful L2 and L2+/Layer 3 Lite features and enhanced performance and usability. Manage remotely with Insight Cloud Management
Smart Cloud Switches,GS728TXPv3,Smart w/ optional Cloud (GS728TXPv3),24-Port Gigabit Ethernet PoE+ Smart Switch w/ optional Remote/Cloud Management and 4 SFP+ Ports (190W),"Standalone Smart Switch designed for converged networks, big or small. 1-Year Insight subscription included."
Smart Cloud Switches,XS516TM,S3600 Series 10G/Multi-Gigabit Ethernet Smart Switches (XS516TM),16-Port 10G/Multi-Gigabit Ethernet Smart Switch with 2 10G SFP+ Ports,".16 x 10G/Multi-Gigabit ports with 2 dedicated 10G SFP+ ports.Energy Efficient Ethernet for maximum power savings.Desktop, wall mount or rack mount placement.Configurable L2+/L3 Lite network features.1-year of NETGEAR Insight Cloud Management included."
Smart Cloud Switches,XS508TM,S3600 Series 10G/Multi-Gigabit Ethernet Smart Switches (XS508TM),8-Port 10G/Multi-Gigabit Ethernet Smart Switch with 2 10G SFP+ Ports,".8 x 10G/Multi-Gigabit ports with 2 dedicated 10G SFP+ ports.Energy Efficient Ethernet for maximum power savings.Desktop, wall mount or rack mount placement.Configurable L2+/L3 Lite network features.1-year of NETGEAR Insight Cloud Management included."
Smart Cloud Switches,GS108Tv3,Smart w/ optional Cloud (GS108Tv3),8-Port Gigabit Ethernet Smart Switch with Cloud Management,"Get switching now, remote/cloud management now or later"
Smart Cloud Switches,GS110TPv3,Smart w/ optional Cloud (GS110TPv3),8-Port Gigabit PoE+ Ethernet Smart Switch with 2 SFP Ports and Cloud Management (55W),"Get switching now, remote/cloud management now or later"
Smart Cloud Switches,GS724TPv3,Smart w/ optional Cloud (GS724TPv3),24 Port Gigabit Ethernet PoE+ Smart Switch with 2 SFP Ports (190W),".Standalone Smart Switch designed for converged networks, big or small. 1 Year Insight subscription included.."
Smart Cloud Switches,GS724TPPv3,Smart w/ optional Cloud (GS724TPPv3),24 Port Gigabit Ethernet PoE+ Smart Switch w/ optional Remote/Cloud Management and 2 SFP Ports (380W),"Standalone Smart Switch designed for converged networks, big or small. 1 Year Insight subscription included."
Smart Cloud Switches,GS724TPP,Smart w/ optional Cloud (GS724TPP),24-Port Gigabit Ethernet PoE+ Smart Switch w/ optional Remote/Cloud Management and 2 SFP Ports (380W),"Get switching now, remote/cloud management now or later. 380W total power budget"
